               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02684,            0.023209,           0.0075631,             0.77301,             0.69648,             0.75347,             0.49527,            0.031619,            0.019625,           0.0094745,           0.0097011,           0.0097011,           0.0097011
                  37,            0.026852,             0.02288,           0.0073874,              0.7705,             0.71899,             0.76398,             0.51157,            0.031078,            0.019693,            0.008927,            0.009684,            0.009684,            0.009684
                  38,             0.02661,            0.022913,           0.0071423,              0.7598,             0.72789,             0.76863,             0.51658,            0.031298,            0.019181,           0.0091687,           0.0096664,           0.0096664,           0.0096664
                  39,            0.027165,            0.023239,           0.0076066,             0.76784,             0.72517,             0.76742,             0.51394,            0.031235,            0.019616,           0.0093055,           0.0096484,           0.0096484,           0.0096484
                  40,            0.026995,            0.022794,           0.0071058,              0.7806,             0.72077,             0.77027,             0.51664,            0.031313,            0.019561,           0.0088868,           0.0096299,           0.0096299,           0.0096299
                  41,            0.026517,            0.022209,           0.0066992,             0.78898,             0.72113,             0.77647,             0.51488,            0.031291,            0.019936,           0.0090547,            0.009611,            0.009611,            0.009611
                  42,            0.026142,            0.022621,           0.0067338,             0.79729,             0.71354,             0.77658,             0.51941,            0.030831,            0.019534,           0.0085454,           0.0095916,           0.0095916,           0.0095916
                  43,            0.026261,            0.022585,           0.0067221,              0.7881,             0.70625,             0.76869,             0.51602,             0.03097,            0.019554,           0.0087418,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025947,            0.022125,           0.0064616,             0.77874,              0.7122,             0.76527,             0.51535,            0.030833,            0.019929,           0.0090591,           0.0095514,           0.0095514,           0.0095514
                  45,            0.026007,            0.022454,           0.0068193,             0.79458,             0.69836,             0.76318,             0.51633,            0.031198,            0.019613,           0.0095259,           0.0095307,           0.0095307,           0.0095307
                  46,            0.025776,            0.022112,           0.0067984,             0.78724,             0.71882,             0.77277,             0.52288,            0.031196,            0.020004,           0.0092511,           0.0095095,           0.0095095,           0.0095095
