""
epoch,train_loss,train_acc,test_loss,test_acc
1,3.8609544448363473,0.11206,3.4188395035572543,0.17800000309944153
2,3.0100031895515245,0.24868,2.8915189382357473,0.27630001306533813
3,2.375700112489554,0.37288,2.3877982879296327,0.38600000739097595
4,1.928331180413564,0.47238,1.962184802079812,0.46880000829696655
5,1.6320870243586028,0.54172,1.8743572601905236,0.48840001225471497
6,1.4089717574608631,0.59514,1.9800511812552428,0.47909998893737793
7,1.243702559440564,0.63982,1.7712152447455969,0.531000018119812
8,1.0885231456695459,0.67786,1.97940087165588,0.49410000443458557
9,0.9697847528335376,0.71154,1.9180100040558057,0.5037999749183655
10,0.8719476736508883,0.73872,2.049107919900845,0.4966000020503998
11,0.7741175319139774,0.76594,2.030627171198527,0.5009999871253967
12,0.714701933050767,0.78248,2.125698263828571,0.4902999997138977
13,0.6576402068902285,0.79988,2.211226137784811,0.48899999260902405
14,0.6119374389067674,0.81302,2.223834808056171,0.48829999566078186
15,0.5782173688595111,0.82404,2.165293690485832,0.5033000111579895
16,0.5525475962421833,0.8302,2.322704254052578,0.4790000021457672
17,0.542304825477111,0.83368,2.2371001014342675,0.4936999976634979
18,0.510040492277879,0.84612,2.2164577062313375,0.5040000081062317
19,0.5131158661383849,0.8431,2.218460141084133,0.5004000067710876
20,0.4935620963573456,0.84972,2.3146304732713943,0.4846000075340271
21,0.4978647301594416,0.8488,2.356480109385955,0.48590001463890076
22,0.47866133466745037,0.85234,2.5974900951752296,0.4530999958515167
23,0.47140758232428476,0.85688,2.3096006894722962,0.475600004196167
24,0.4612887354233326,0.86,2.241341661184262,0.49540001153945923
25,0.482474624308256,0.85226,2.3081606397261987,0.49149999022483826
26,0.44329677785818394,0.86632,2.2931727446042576,0.5019999742507935
27,0.4684337216310012,0.85764,2.3752780724794436,0.4713999927043915
28,0.4485444023441046,0.8645,2.4829250421279516,0.4837000072002411
29,0.44761469604877324,0.86504,2.37963823783092,0.46880000829696655
30,0.46036200729700233,0.86014,2.389684486083495,0.4812999963760376
31,0.4297920875824415,0.87004,2.3939456603465934,0.48669999837875366
32,0.4549026785752712,0.86282,2.3250438555693016,0.4950999915599823
33,0.42262586592099605,0.87214,2.618660411773584,0.46000000834465027
34,0.4520358063471623,0.8642,2.5974872555488195,0.4693000018596649
35,0.449921776048648,0.86292,2.4328049482443395,0.49219998717308044
36,0.41021063717511985,0.875,2.216478881163475,0.4885999858379364
37,0.4431152219573657,0.86756,2.4973719991170444,0.4661000072956085
38,0.4418325546078193,0.86638,2.4447763516352725,0.48030000925064087
39,0.4228359681673539,0.87282,2.565728704134623,0.4772999882698059
40,0.4314507221182187,0.87144,2.3353762978162522,0.4830999970436096
41,0.10732777197964681,0.97378,1.5737993793609815,0.6115999817848206
42,0.016628217470282928,0.99898,1.5084215662418268,0.6233000159263611
43,0.010985852766017884,0.99948,1.4847807639684432,0.6244999766349792
44,0.010725341043554437,0.99946,1.469342950062874,0.6297000050544739
