""
epoch,train_loss,train_acc,test_loss,test_acc
1,4.007161389864408,0.0823,3.6925265819598465,0.13030000030994415
2,3.457963261237511,0.16458,3.3108304219368176,0.2061000019311905
3,3.0602478999357956,0.23294,2.9656993670341296,0.2628999948501587
4,2.761414023546072,0.2925,2.639447884681897,0.3287000060081482
5,2.5072156527103524,0.34494,2.5029847010588036,0.36419999599456787
6,2.330946150804177,0.38176,2.2849101301951285,0.4072999954223633
7,2.185113115494068,0.4153,2.0755972419029627,0.447299987077713
8,2.076876453252939,0.44028,1.9699662083234541,0.4724000096321106
9,1.9675677452331934,0.46552,2.0957465905409594,0.4562999904155731
10,1.885766319433848,0.48466,2.032928468325199,0.47690001130104065
11,1.8315225274134905,0.4974,1.7526520765744722,0.5228999853134155
12,1.7756514971072856,0.51158,2.1139406653550954,0.46630001068115234
13,1.7287771772115659,0.52146,1.892190850698031,0.5024999976158142
14,1.692315928446941,0.529,2.0241970725548573,0.4830000102519989
15,1.6655726567292826,0.53836,1.8657656602370434,0.5123000144958496
16,1.6308556923499473,0.54566,1.6273396137433174,0.5551000237464905
17,1.612672839103601,0.55242,1.690532928858048,0.5529999732971191
18,1.5887256698730665,0.55528,1.7983233378483698,0.5230000019073486
19,1.5642680305701036,0.56368,1.5962569331511474,0.5575000047683716
20,1.549547965404315,0.56774,1.83714366876162,0.5271000266075134
21,1.5338703690431057,0.5713,1.5908248577362452,0.5720999836921692
22,1.5200786621142657,0.57426,1.7595577392822657,0.5449000000953674
23,1.5106939367758923,0.57836,1.6188360712467096,0.5706999897956848
24,1.4948400176488437,0.5794,1.581646631925534,0.5684999823570251
25,1.4919787034010277,0.5834,1.8268911578716376,0.5266000032424927
26,1.4751197860791132,0.58604,1.5922227135071387,0.5720999836921692
27,1.4654656095382494,0.59106,1.5240580240885417,0.586899995803833
28,1.4618320000477327,0.58852,1.5803134731757336,0.5733000040054321
29,1.455970260118827,0.59158,1.5817800087806506,0.5759999752044678
30,1.4427983418489114,0.5957,1.7285668391447802,0.5562000274658203
31,1.4349092523256937,0.59688,1.577563768778092,0.5817999839782715
32,1.4403116923112136,0.59582,1.4668267888900561,0.59579998254776
33,1.4303710301717123,0.59868,1.5866170601967053,0.5813999772071838
34,1.4319546097364182,0.5966,1.7978397179872563,0.5343999862670898
35,1.4244798103968301,0.60114,1.6915249182627752,0.5561000108718872
36,1.4131898546830202,0.60216,1.624827048717401,0.5695000290870667
37,1.4059743760487973,0.6048,1.7649884346203926,0.5486000180244446
38,1.4037777367310647,0.60542,1.5924709026630108,0.5771999955177307
39,1.3969920104894882,0.6051,1.500438739091922,0.5910999774932861
40,1.3907158957077908,0.60942,1.6081606837419362,0.5730000138282776
41,0.99198891382951,0.71414,1.0568552789015648,0.7027999758720398
42,0.8762792717187833,0.74274,1.0654009909201891,0.7001000046730042
43,0.8471763030076638,0.7495,1.0787454262757912,0.7021999955177307
44,0.8374639433163863,0.75376,1.1105835483624384,0.6984000205993652
45,0.8281510243049035,0.75554,1.157763876976111,0.6897000074386597
46,0.8177278257333316,0.755,1.174624441525875,0.6794000267982483
47,0.8197371736550942,0.75498,1.17826885672716,0.6840000152587891
48,0.8132049711850974,0.75902,1.157921226360859,0.6855999827384949
49,0.8127089080138085,0.75726,1.1490903275135236,0.6913999915122986
50,0.8096579155860804,0.7588,1.2122991948555677,0.6805999875068665
51,0.8182980077388959,0.7569,1.186268266194906,0.6894999742507935
52,0.8047828679665541,0.76034,1.2727672037405846,0.6694999933242798
53,0.7950385587337689,0.7646,1.2725473451308715,0.66839998960495
54,0.7934680007207088,0.76394,1.2403581394599035,0.6729000210762024
55,0.7865751622579037,0.76464,1.2812270071261969,0.6671000123023987
56,0.7833088413262979,0.7648,1.253904865338252,0.6654000282287598
